"Step","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4} - train/episode_reward__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4} - train/episode_reward__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'current_vs_next', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'current_vs_next', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'current_vs_next', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward__MAX"
"1664","-205.2337443033854","-290.52593994140625","-127.92726135253906","-205.2337443033854","-290.52593994140625","-127.92726135253906","-175.9905242919922","-234.29733276367188","-133.0251007080078","-175.9905242919922","-234.29733276367188","-133.0251007080078","-175.9905242919922","-234.29733276367188","-133.0251007080078"
"1792","-205.45423889160156","-322.5368347167969","-138.952880859375","-205.45423889160156","-322.5368347167969","-138.952880859375","-175.88873799641928","-273.35504150390625","-109.607177734375","-175.88873799641928","-273.35504150390625","-109.607177734375","-175.88873799641928","-273.35504150390625","-109.607177734375"
"1920","-185.82172393798828","-206.20880126953125","-165.4346466064453","-185.82172393798828","-206.20880126953125","-165.4346466064453","-189.3276163736979","-286.0907287597656","-125.97727966308594","-189.3276163736979","-286.0907287597656","-125.97727966308594","-189.3276163736979","-286.0907287597656","-125.97727966308594"
"2048","-179.5680185953776","-252.62991333007812","-103.39390563964844","-179.5680185953776","-252.62991333007812","-103.39390563964844","-444.53334045410156","-642.4212646484375","-208.6977081298828","-444.53334045410156","-642.4212646484375","-208.6977081298828","-444.53334045410156","-642.4212646484375","-208.6977081298828"
"2176","-281.58807881673175","-427.71575927734375","-205.41346740722656","-281.58807881673175","-427.71575927734375","-205.41346740722656","-259.58978271484375","-342.21148681640625","-209.66326904296875","-259.58978271484375","-342.21148681640625","-209.66326904296875","-259.58978271484375","-342.21148681640625","-209.66326904296875"
"2304","-141.8238754272461","-186.82717895507812","-110.60311126708984","-141.8238754272461","-186.82717895507812","-110.60311126708984","-190.98013814290366","-263.10675048828125","-53.05442810058594","-190.98013814290366","-263.10675048828125","-53.05442810058594","-190.98013814290366","-263.10675048828125","-53.05442810058594"
"2432","-246.6415812174479","-372.5574035644531","-100.9659423828125","-246.6415812174479","-372.5574035644531","-100.9659423828125","-190.35879516601562","-260.29638671875","-99.60478210449219","-190.35879516601562","-260.29638671875","-99.60478210449219","-190.35879516601562","-260.29638671875","-99.60478210449219"
"2560","-156.16187795003256","-251.45584106445312","-56.189735412597656","-156.16187795003256","-251.45584106445312","-56.189735412597656","-160.63407135009766","-205.19891357421875","-94.70462799072266","-160.63407135009766","-205.19891357421875","-94.70462799072266","-160.63407135009766","-205.19891357421875","-94.70462799072266"
"2688","-264.9491933186849","-366.6320495605469","-117.21974182128906","-264.9491933186849","-366.6320495605469","-117.21974182128906","-173.86842600504556","-313.4577331542969","-100.3222885131836","-173.86842600504556","-313.4577331542969","-100.3222885131836","-173.86842600504556","-313.4577331542969","-100.3222885131836"
"2816","-293.497802734375","-471.4483947753906","-115.54721069335938","-293.497802734375","-471.4483947753906","-115.54721069335938","-262.8499755859375","-306.5784606933594","-205.80746459960938","-262.8499755859375","-306.5784606933594","-205.80746459960938","-262.8499755859375","-306.5784606933594","-205.80746459960938"
"2944","-293.6864725748698","-380.35382080078125","-194.36282348632812","-293.6864725748698","-380.35382080078125","-194.36282348632812","-255.86919148763022","-291.36651611328125","-221.98651123046875","-255.86919148763022","-291.36651611328125","-221.98651123046875","-255.86919148763022","-291.36651611328125","-221.98651123046875"
"3072","-183.1206817626953","-244.7292938232422","-117.30712890625","-183.1206817626953","-244.7292938232422","-117.30712890625","-200.39935302734375","-346.0633544921875","-73.34463500976562","-200.39935302734375","-346.0633544921875","-73.34463500976562","-200.39935302734375","-346.0633544921875","-73.34463500976562"
"3200","-228.55208333333334","-283.34429931640625","-126.02505493164062","-228.55208333333334","-283.34429931640625","-126.02505493164062","-155.5607172648112","-177.5113525390625","-125.0498275756836","-155.5607172648112","-177.5113525390625","-125.0498275756836","-155.5607172648112","-177.5113525390625","-125.0498275756836"
"3328","-272.10125223795575","-394.176025390625","-126.79960632324219","-272.10125223795575","-394.176025390625","-126.79960632324219","-228.62358601888022","-458.1246643066406","-84.79080200195312","-228.62358601888022","-458.1246643066406","-84.79080200195312","-228.62358601888022","-458.1246643066406","-84.79080200195312"
"3456","-285.86610921223956","-414.9404296875","-126.73318481445312","-285.86610921223956","-414.9404296875","-126.73318481445312","-130.4865926106771","-177.1575469970703","-102.8021469116211","-130.4865926106771","-177.1575469970703","-102.8021469116211","-130.4865926106771","-177.1575469970703","-102.8021469116211"
"3584","-323.59925333658856","-560.9218139648438","-187.58358764648438","-323.59925333658856","-560.9218139648438","-187.58358764648438","-265.38878377278644","-343.2824401855469","-210.158447265625","-265.38878377278644","-343.2824401855469","-210.158447265625","-265.38878377278644","-343.2824401855469","-210.158447265625"
"3712","-313.98389689127606","-352.412353515625","-275.1607971191406","-313.98389689127606","-352.412353515625","-275.1607971191406","-262.3363749186198","-280.9071044921875","-247.33428955078125","-262.3363749186198","-280.9071044921875","-247.33428955078125","-262.3363749186198","-280.9071044921875","-247.33428955078125"
"3840","-346.68677775065106","-450.8931884765625","-221.11843872070312","-346.68677775065106","-450.8931884765625","-221.11843872070312","-346.78342692057294","-448.1073913574219","-224.19400024414062","-346.78342692057294","-448.1073913574219","-224.19400024414062","-346.78342692057294","-448.1073913574219","-224.19400024414062"
"3968","-258.68170166015625","-445.79364013671875","-146.34744262695312","-258.68170166015625","-445.79364013671875","-146.34744262695312","-198.94524637858072","-348.91748046875","-101.57148742675781","-198.94524637858072","-348.91748046875","-101.57148742675781","-198.94524637858072","-348.91748046875","-101.57148742675781"
"4096","-94.93174743652344","-195.81781005859375","31.605453491210938","-94.93174743652344","-195.81781005859375","31.605453491210938","-133.3865534464518","-195.81777954101562","-58.186927795410156","-133.3865534464518","-195.81777954101562","-58.186927795410156","-133.3865534464518","-195.81777954101562","-58.186927795410156"
"4224","-229.31565602620444","-342.5689697265625","-120.8204116821289","-229.31565602620444","-342.5689697265625","-120.8204116821289","-226.71058146158853","-299.9886474609375","-112.72134399414062","-226.71058146158853","-299.9886474609375","-112.72134399414062","-226.71058146158853","-299.9886474609375","-112.72134399414062"
