"Step","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': True, 'priority_type': 'current_vs_next', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': True, 'priority_type': 'current_vs_next', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': True, 'priority_type': 'current_vs_next', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': True, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': True, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': True, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': True, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': True, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': True, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': False, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': False, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': False, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': False, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': False, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'enable_mico': False, 'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': False}} - train/episode_reward__MAX"
"3456","-101.4166669845581","-200","-5","-190.2","-200","-170","-63.16000137329102","-200","-4.5","-104.01666679382325","-200","-25.33333396911621","-90.50833435058594","-200","-1.375"
"3584","-187.25","-200","-149","-117.58333333333333","-200","-36.75","-11.416666666666666","-24.5","14","-86.14583349227905","-200","-19.25","-34.94444465637207","-68","-16.5"
"3712","-200","-200","-200","-158.66666666666666","-200","-76","-113","-200","1","-87","-200","-1","-58.83333396911621","-145","-8"
"3840","-89.08750009536743","-200","-28.600000381469727","-122.22000007629394","-200","-28.600000381469727","-77.75000095367432","-200","-16","-102.61666717529297","-200","-5.75","-81.75000076293945","-200","-7.25"
"3968","-147.1","-200","-73","-148","-200","-73","-44.3125","-67","-12","-114.3","-200","-33","-70.2","-107","-16"
"4096","-111","-130","-92","-155.5","-200","-92","-108.125","-200","-21","-200","-200","-200","-152.66666666666666","-200","-58"
"4224","-158","-200","-74","-97","-200","-16","-109.27380990982056","-200","-11.428571701049805","-86.7916669845581","-200","-23.166667938232422","-115.66666666666667","-200","-48"
"4352","-181.375","-200","-125.5","-120.05555597941081","-200","-34.66666793823242","-100.08333349227905","-200","17","-61.861111760139465","-200","-6.333333492279053","-120.4","-200","-37"
"4480","-100.3125","-200","-26.25","-97.625","-200","-9","-86.8125","-200","4.75","-109.6","-200","-20","-56.37500047683716","-200","17.5"
"4608","-46.58333396911621","-91.5","-10","-52.33333396911621","-100.5","-29.666667938232422","-119.625","-200","-23.5","-115.5","-200","4","-172.33333333333334","-200","-117"
"4736","-52.833333333333336","-139.5","1","-81.16666666666667","-200","-9.5","-112.91666666666667","-200","-13.75","-38.416666666666664","-46.25","-29","-80.70833492279053","-128","-24.666667938232422"
"4864","-86.33333396911621","-157","-56","-136.1","-200","-92","-81.125","-200","-24","-158.375","-200","-110","-92.70000004768372","-176","-9.800000190734863"
"4992","-87.25","-200","-11","-56.333333333333336","-72","-31","-42.496323585510254","-94.5","8.764705657958984","-41.9375","-73.5","-9.5","-91","-168","-39"
"5120","-67.70833331346512","-200","1.1666667461395264","-60.81666713953018","-200","-1.2000000476837158","-86.3125","-200","5.75","-73.66666666666667","-200","-4","-79.125","-116","-17"
"5248","-50.839999961853025","-138","-8","-54.55","-138","3.25","-62.219780158996585","-151","7.615385055541992","-103.2","-200","-15","-75.25","-138","-15"
"5376","-76.55000076293945","-200","-3.75","-91.20000076293945","-200","-38.333335876464844","-66.7916669845581","-110","-13.5","-39.71666660308838","-83","6.6666669845581055","-52.13333358764648","-92","2"
"5504","-63.52083396911621","-110","-19.75","-34.48749999701977","-63.5","0.30000001192092896","-66.72222220897675","-200","1.888888955116272","-96.45000004768372","-200","-11.800000190734863","-70.0416669845581","-137","-24.666667938232422"
"5632","-42.375","-104","0.5","-27.1","-104","14","-17.699999968210857","-38","4.400000095367432","-86.5","-200","-0.5","-31.625","-104","9"
"5760","-103.43333334922791","-200","-1.1666667461395264","-59.5625","-153","-10.5","-67.02500009536743","-108.5","-23.600000381469727","-136","-200","-33","-107.52500009536743","-178","-22.600000381469727"
"5888","-101.8125","-200","-9.25","-134.33333349227905","-200","-18.33333396911621","-55.15454545021057","-119","3.7272727489471436","-88","-200","-24","-95.97777777910233","-200","-0.8888888955116272"
"6016","-67.8166675567627","-200","-14.333333969116211","-80.33333349227905","-200","-2","-40.333333333333336","-91","-0.5","-134","-200","-21","-28.000000317891438","-57","-13.333333969116211"
"6144","-46.984375","-144","13.0625","-98.66666666666667","-200","10","-76.28571462631226","-170","-22.142858505249023","-77.66666666666667","-200","7.5","-62.55000019073486","-175","-12"
"6272","-138.6","-200","18","-178.6","-200","-112","-66.05904783010483","-200","6.800000190734863","-173.4","-200","-67","-140.875","-200","-61"
"6400","-45.96710526943207","-82.5","5.6315789222717285","-82.25","-177","-13","-13.52222204208374","-38.5","7.933333873748779","-93","-200","-2","-65.5","-164","5.5"
"6528","-92.60000038146973","-156","-18.80000114440918","-74.8250002861023","-200","-17.80000114440918","-75.50000028610229","-200","-6.333333492279053","-147","-200","-91","-81.5","-200","-4"
"6656","-124.95","-200","9","-131.4","-200","9","-40.993303656578064","-175","9","-200","-200","-200","-146.6","-200","-41.5"
"6784","-60.75526313781738","-200","11.473684310913086","-64.875","-157","6.5","-14.454199576377869","-42","14.757575988769531","-101.77777862548828","-200","-49","-72.83333333333333","-157","-0.5"
"6912","-58","-116","-18","-63.01666679382324","-107","-27.33333396911621","-36.14285707473755","-116","9.928571701049805","-79.09000000059605","-200","-0.20000000298023224","-118","-200","-32"
"7040","-94.45833396911621","-200","3.5","-35.418181800842284","-96","-4.090909004211426","-65.68000049591065","-200","-10.40000057220459","-121.7","-200","5.5","-107.3","-167","-46.5"
"7168","-81.625","-200","-2.5","-10.611111481984457","-19.5","4.333333492279053","-69.88888883590698","-200","3.3333334922790527","-93.72222216924031","-200","2.8333334922790527","-64.49682540893555","-200","10.44444465637207"
"7296","-65.63939418792725","-200","12.969696998596191","-150.6","-200","-18","-32.59999990463257","-66","6.450000286102295","-126.33333333333333","-200","-26","-78.38095235824585","-132","4.857142925262451"
"7424","-98.4","-200","0","-45.092592557271324","-123","-5.5","-89.5","-200","8","-113.61666717529297","-200","-25.75","-82.95833349227905","-200","-10.333333969116211"
"7552","-90","-200","7","-111.5625","-200","2.75","-38.066666793823245","-90.5","-18","-32.758333921432495","-60.333335876464844","-10.199999809265137","-103.33333396911621","-200","-27"
"7680","-107","-171","-67","-98.5625","-200","-34.75","-76.3809524377187","-113","-3.142857313156128","-74.5","-122","-27","-73.5222223520279","-200","1.2222222089767456"
"7808","-94","-181","-5","-90.57083320617676","-200","8.800000190734863","-39.32564088702202","-92","10.466667175292969","-118.33333333333333","-200","-74","-81.55","-200","-28.75"
"7936","-100.8888889948527","-200","-11.666666984558105","-108.3125","-200","-16.25","-20.7153360247612","-91.5","8.352941513061523","-138.41666793823242","-200","-73","-52.98508405685425","-200","15.088234901428223"
"8064","-59.7","-93.5","-26","-109.25","-200","-15.75","-39.51474847793579","-200","14.911765098571777","-64.9","-200","-8","-145.66666666666666","-200","-37"
"8192","-28.52371778488159","-99","10.708333969116211","-145.6666669845581","-200","-21.666667938232422","-40.63888883590698","-172","12.333333015441895","-84.5257144331932","-200","0.5714285969734192","-112.7","-200","4"
"8320","-52.30058836936951","-200","15.117647171020508","-13.619047611951828","-41","2.6666667461395264","-60.017777633666995","-200","10.300000190734863","-63.77083349227905","-200","-7.75","-8.111111640930176","-8.111111640930176","-8.111111640930176"
"8448","-75.9375","-200","8.75","-60.04166662693024","-96.5","2.3333334922790527","-37.80980377197265","-165","15.333333969116211","-151","-200","-53","-30.222077941894533","-91","6.818181991577148"
"8576","-53.388888915379844","-103","-2.1666667461395264","-59.364301919937134","-200","13.459460258483887","-62.78666672706604","-137","-2.3333332538604736","-147.77777862548828","-200","-66.33333587646484","-31.183516454696655","-91.5","7"
"8704","-95.16666666666667","-139.5","-65","-56.11666655540466","-143","6.333333492279053","-27.37042987346649","-144","14.7333345413208","-65.27142868041992","-145.5","-6.857143402099609","-42.075000166893005","-144","5.900000095367432"
"8832","-74.81000003814697","-200","-3.75","-123.88333320617676","-200","11.583333969116211","-6.206656265258789","-62","15.6578950881958","-60.1","-115","-30","-48.96363639831543","-200","9.181818008422852"
"8960","-23.07777746518453","-79","13.066667556762695","-37.3125","-79","-7.25","-77.43863620758057","-200","14.625","-54.722222646077476","-93.5","-17.666667938232422","-9.582857131958008","-40","13.085714340209961"
"9088","-112.10810794830323","-200","15.459460258483887","-58.97333369255066","-171","3.133333444595337","-11.84375","-31","12.5","-155.5","-200","-22","-44.95000076293945","-66","-18.5"
"9216","-94.57333354949951","-200","13.800000190734863","-40.18553562164307","-200","12.34375","-121.4166669845581","-200","-22","-137.55555566151938","-200","-12.666666984558105","4.415685971577962","-10.40000057220459","13.647058486938477"
"9344","3.025000254313151","-3.875","12.200000762939453","0.957142686843872","-10.333333969116211","12.571428298950195","-6.471467590332031","-32","14.103447914123535","-132.75","-200","-20","-24.633333587646483","-54.66666793823242","17"
"9472","-111.17499995231628","-200","9.300000190734863","-4.3083332777023315","-32.5","14","-11.276695156097412","-55.333335876464844","14.371428489685059","-37.916666984558105","-56.5","-4.5","-60.125","-93.5","-5"
"9600","-62.17959761619568","-200","11.448275566101074","-70.5","-101","-24.5","-15.017857074737549","-75","15.428571701049805","-28.976190447807312","-64.5","1.571428656578064","-63.46666669845581","-200","17"
"9728","-23.141071319580078","-93","15.785715103149414","-79.63809566497802","-200","8.642857551574707","-13.111111640930176","-58.333335876464844","9.666666984558105","-95.70666732788087","-200","-26.200000762939453","-101.16190509796142","-200","-4.142857551574707"
"9856","-105.57435941696167","-200","6.461538791656494","-52.50865811109543","-200","7.727272987365723","-119.2232759475708","-200","9.758620262145996","-35.54666678905487","-88","3.200000047683716","-89.61148643493652","-200","15.054054260253906"
"9984","-26.052702713012696","-75","15.486486434936523","-0.970121192932129","-22.33333396911621","14.5625","-3.0752379417419435","-22.33333396911621","15.333333969116211","-45.766667175292966","-110","-17","-26.711538314819336","-65","9.69230842590332"
"10112","-31.289501786231995","-152","11.484848976135254","-14.140849685668945","-55.5","14.823529243469238","-10.246843338012695","-55.5","14.361111640930176","-93.3166666984558","-200","-7.333333492279053","1.1928311387697856","-10.40000057220459","14.645160675048828"
"10240","-41.34999990463257","-200","15.800000190734863","-47.422618985176086","-200","9.928571701049805","3.770833544433117","-5.599999904632568","12.850000381469727","-47.18333330154419","-93","5.333333492279053","-37.59247379302978","-91.5","14.870966911315918"
"10368","-40.143589401245116","-200","15.743590354919434","-33.17307682037354","-125","14.25","-7.757575798034668","-27.5","8","-47.549999952316284","-91.5","-8.5","-81.85142841339112","-200","8.642857551574707"
"10496","-0.25","-12.75","15","-35.24862060546875","-200","14.206896781921387","-1.0228497982025146","-18.33333396911621","14.741934776306152","-35.691667318344116","-91.5","9.40000057220459","11.026881694793701","6.090909481048584","14.580644607543945"
"10624","-84.54761924743653","-200","17.25","4.552310913801193","0.6000000238418579","15.323529243469238","-93.07758617401123","-200","14.689655303955078","-111.66666666666667","-200","-44","-87.81212120056152","-200","7.2727274894714355"
"10752","-38.8978688031435","-103","14.878787994384766","-16.479102420806885","-119","15.675000190734863","-68.48333330154419","-166","4.333333492279053","-76.7833333492279","-135","-2.6666667461395264","-77.30555543899536","-200","15.38888931274414"
"10880","14.819172223409018","11.222222328186035","18","14.353595097859701","14","14.766667366027832","-10.371794819831848","-91","17","-7.6666669845581055","-7.6666669845581055","-7.6666669845581055","-1.5029761791229248","-9.75","6.5714287757873535"
"11008","-82.23999999761581","-200","11.5","-80.85689659118653","-200","13.965517044067383","-46.25","-200","13","-120.31407403945923","-200","7.629629611968994","-28.66222229003906","-95.5","11.88888931274414"
"11136","-12.605407476425171","-91.5","14.848484992980957","-60.07828267415365","-200","13.515151977539062","-46.859375","-157","11.0625","-0.3333333730697632","-3.6666667461395264","3","-16.222222248713177","-40","-3.6666667461395264"
"11264","-40.276660442352295","-200","15.794872283935547","-21.099038869142532","-109","15.235294342041016","-18.603809714317322","-60.66666793823242","3.9333336353302","-133.9","-200","2","-75.73333349227906","-200","-7.200000286102295"
"11392","-51.6006441116333","-200","13.518518447875977","-46.03265509605408","-200","15.578947067260742","-45.096282708644864","-200","15.314286231994629","-140.25","-200","-70","-55.6","-200","12"
"11520","-39.33206510543823","-200","14.700000762939453","-16.06666660308838","-87.5","15.666666984558105","-11.762281036376953","-48.5","15.416666984558105","-32.61111195882162","-63.66666793823242","-5.5","-48.288888692855835","-200","10.266667366027832"
"11648","-30.930655479431152","-164","14.956521987915039","4.113095164299011","-8.333333969116211","14.428571701049805","10.446627140045166","-4","15.472222328186035","-89.46666679382324","-163","-8.333333969116211","-45.41599998474121","-165","12.920000076293945"
"11776","-31.77053756713867","-143","13.580644607543945","2.6042021751403808","-32.66666793823242","15","-37.67756886482239","-127","15.552631378173828","-32.82333331108093","-104","12.550000190734863","-40.8015251159668","-104","14.296296119689941"
"11904","-26.20281639099121","-110","15.264705657958984","-5.593277549743652","-56.66666793823242","14.5","-42.47222217917442","-200","16","-63.05555534362793","-103","12.333333969116211","-20.225000023841858","-91.5","9"
"12032","-36.295742988586426","-161","15.631579399108887","-5.708812713623047","-73","15.12121295928955","-50.52563896179199","-200","15.323529243469238","-55.9642858505249","-166","11.392857551574707","-0.46581214666366577","-20.33333396911621","10"
"12160","15.029677073160807","14.392857551574707","15.605263710021973","14.62500031789144","14.000000953674316","15","15.281145095825195","14.454545974731445","16","-94.68705883026124","-200","12.800000190734863","-33.00397872924805","-200","14.307692527770996"
"12288","-71.84485416412353","-200","14.870966911315918","-25.117647171020508","-91.5","15.5","-93.80277752876282","-200","14.222222328186035","-119.745370388031","-200","13.518518447875977","-112.33333396911621","-200","-24.666667938232422"
"12416","-93.8988094329834","-200","14.333333015441895","-35.24060878753662","-200","14.96875","-92.99130420684814","-200","14.043478965759277","-40.799999713897705","-92","10.40000057220459","-52.35952377319336","-200","12.166666984558105"
"12544","-57.20409965515137","-200","15.20588207244873","-3.1601932048797607","-58","16.33333396911621","-14","-31","3","-89.94285736083984","-200","18","-78.82000007629395","-200","-21"
"12672","-22.752697944641113","-111","15.314286231994629","-22.432857155799866","-91","15.371428489685059","-43.05294117629528","-140.5","11","-53.53333342075348","-117","-4.333333492279053","7.7730813980102536","1","11.70588207244873"
"12800","13.007761637369791","8.666666984558105","15.29411792755127","4.183712482452393","-17.75","15.15151596069336","8.822222630182901","2.6666667461395264","14.80000114440918","-94.59523820877075","-200","10.809523582458496","-6.513888994852702","-14.666666984558105","2.625"
"12928","-87.835125541687","-200","15.38888931274414","-26.284630584716798","-108.5","15.342857360839844","-93.83333349227905","-200","11.333333969116211","-94.2529411315918","-200","15.235294342041016","-100.16666666666667","-200","16.5"
"13056","-15.643137168884277","-65","15.541666984558105","-13.870475959777831","-121","14.533333778381348","-33.541111087799074","-78.5","-7.555555820465088","-38.68968253135681","-121","16.0238094329834","-85.73333358764648","-200","10"
"13184","5.270486235618591","-15.25","15.44444465637207","4.883664965629578","-13.666666984558105","14.655172348022461","8.766775560379028","-2.444444417953491","16","8.342592775821686","0.6666666865348816","15.361111640930176","-5.827155876159668","-32.5","11.642857551574707"
"13312","-25.34166717529297","-80.33333587646484","11.125","-24.54861092567444","-138.5","15.333333969116211","-26.24166703224182","-91","12.199999809265137","-48.4579496383667","-138.5","14.076923370361328","-55.375","-200","3.625"
"13440","-12.931493473052978","-63","9.125","-1.4385825395584106","-37.333335876464844","15.090909957885742","-80.68888886769612","-200","-15.666666984558105","-58.388888676961265","-200","15","-16.50000023841858","-23.200000762939453","-3.299999952316284"
"13568","1.91785728931427","-9","13.885714530944824","-79.09624977111817","-200","14.80000114440918","-110.82692289352417","-200","13.69230842590332","-83.13636350631714","-200","15.454545974731445","-13.354761981964112","-38.75","2.3333334922790527"
"13696","-10.375757789611816","-36.66666793823242","15.12121295928955","-53.20625","-200","15","-89.80571433901787","-200","0.4000000059604645","-128.15","-200","1.25","-7.399697279930114","-17.83333396911621","3.9333336353302"
